gene_id	gene_type	gene_status	gene_name
ENSG00000205865.4	antisense	KNOWN	FAM99B
ENSG00000231861.1	protein_coding	KNOWN	OR5K2
ENSG00000233347.1	pseudogene	KNOWN	ERP29P1
ENSG00000223373.1	lincRNA	PUTATIVE	AC108066.1
ENSG00000251578.1	TR_V_pseudogene	KNOWN	TRBV21-1
ENSG00000251222.1	pseudogene	KNOWN	RP11-704M14.2
ENSG00000226448.1	pseudogene	KNOWN	RP11-93L14.1
ENSG00000253274.1	IG_V_pseudogene	KNOWN	IGHV1-67
ENSG00000260133.1	pseudogene	KNOWN	CA5AP1
ENSG00000225658.1	pseudogene	KNOWN	TAF13P2
ENSG00000143375.9	protein_coding	KNOWN	CGN
ENSG00000266304.1	lincRNA	NOVEL	RP11-484N16.1
ENSG00000107099.10	protein_coding	KNOWN	DOCK8
ENSG00000187005.3	protein_coding	KNOWN	KRTAP21-1
ENSG00000235797.1	pseudogene	KNOWN	RP11-402G3.6
ENSG00000043355.6	protein_coding	KNOWN	ZIC2
ENSG00000166105.11	protein_coding	KNOWN	GLB1L3
ENSG00000129816.5	lincRNA	KNOWN	TTTY1B
ENSG00000228968.1	lincRNA	PUTATIVE	AC096554.1
ENSG00000129993.10	protein_coding	KNOWN	CBFA2T3
ENSG00000259367.1	antisense	NOVEL	RP11-815J21.4
ENSG00000238325.1	snoRNA	KNOWN	snoU13
ENSG00000100949.10	protein_coding	KNOWN	RABGGTA
ENSG00000265126.1	antisense	NOVEL	CTB-187M2.2
ENSG00000204323.5	protein_coding	KNOWN	C17orf109
ENSG00000260889.1	pseudogene	KNOWN	CKBP1
ENSG00000135269.13	protein_coding	KNOWN	TES
ENSG00000122034.8	protein_coding	KNOWN	GTF3A
ENSG00000213065.2	pseudogene	KNOWN	RP3-431P23.2
ENSG00000235494.1	lincRNA	NOVEL	RP11-498P14.4
ENSG00000253604.1	lincRNA	PUTATIVE	RP11-489E7.1
ENSG00000233455.1	pseudogene	KNOWN	RP4-667H12.4
ENSG00000173542.4	protein_coding	KNOWN	MOB1B
ENSG00000167272.6	protein_coding	KNOWN	POP5
ENSG00000101981.5	protein_coding	KNOWN	F9
ENSG00000250514.1	lincRNA	NOVEL	RP11-96P7.1
ENSG00000250011.1	pseudogene	KNOWN	HMGB1P3
ENSG00000248814.1	pseudogene	KNOWN	RP11-394D14.1
ENSG00000128815.12	protein_coding	KNOWN	WDFY4
ENSG00000253676.1	pseudogene	KNOWN	TAGLN2P1
ENSG00000126583.6	protein_coding	KNOWN	PRKCG
ENSG00000239176.1	snoRNA	KNOWN	snoU13
ENSG00000260838.1	lincRNA	NOVEL	RP11-531A24.3
ENSG00000233441.1	pseudogene	KNOWN	CYP2AB1P
ENSG00000143155.8	protein_coding	KNOWN	TIPRL
ENSG00000181381.9	protein_coding	KNOWN	DDX60L
ENSG00000124243.12	protein_coding	KNOWN	BCAS4
ENSG00000175606.6	protein_coding	KNOWN	TMEM70
ENSG00000163239.8	protein_coding	KNOWN	TDRD10
ENSG00000200065.1	misc_RNA	KNOWN	Y_RNA
ENSG00000253597.1	IG_V_pseudogene	KNOWN	IGHVII-43-1
ENSG00000258076.1	pseudogene	KNOWN	RP11-536C10.14
ENSG00000112343.7	protein_coding	KNOWN	TRIM38
ENSG00000152582.8	protein_coding	KNOWN	SPEF2
ENSG00000112699.6	protein_coding	KNOWN	GMDS
ENSG00000253555.1	pseudogene	KNOWN	RP11-16E18.1
ENSG00000260681.1	antisense	NOVEL	CTA-363E6.5
ENSG00000230484.2	pseudogene	KNOWN	OR51A10P
ENSG00000235868.3	pseudogene	KNOWN	GAPDHP31
ENSG00000155974.7	protein_coding	KNOWN	GRIP1
ENSG00000225507.1	pseudogene	KNOWN	AC069282.6
ENSG00000254732.1	protein_coding	NOVEL	RP11-691N7.6
ENSG00000249633.1	pseudogene	KNOWN	OR52V1P
ENSG00000241961.1	pseudogene	KNOWN	RP11-7F18.1
ENSG00000213689.5	protein_coding	KNOWN	TREX1
ENSG00000250667.1	pseudogene	KNOWN	RP11-321E2.12
ENSG00000158786.4	protein_coding	KNOWN	PLA2G2F
ENSG00000253587.1	IG_V_pseudogene	KNOWN	IGHV3-30-2
ENSG00000253474.1	lincRNA	NOVEL	RP11-10H3.1
ENSG00000260710.1	lincRNA	NOVEL	RP11-616M22.7
ENSG00000224518.1	pseudogene	KNOWN	AC006989.2
ENSG00000202187.1	rRNA	KNOWN	RNA5SP355
ENSG00000239224.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000231584.2	pseudogene	KNOWN	FAHD2CP
ENSG00000231548.1	pseudogene	KNOWN	OR55B1P
ENSG00000147813.11	protein_coding	KNOWN	NAPRT1
ENSG00000258462.1	pseudogene	KNOWN	RP11-831F12.4
ENSG00000087077.7	protein_coding	KNOWN	TRIP6
ENSG00000257048.1	lincRNA	NOVEL	RP11-476M19.2
ENSG00000252060.1	rRNA	KNOWN	RNA5SP464
ENSG00000251014.1	pseudogene	KNOWN	RP11-159K7.1
ENSG00000249159.1	lincRNA	PUTATIVE	RP11-480D4.2
ENSG00000199251.1	snRNA	KNOWN	U6
ENSG00000249623.1	antisense	PUTATIVE	RP11-610J23.1
ENSG00000216101.1	miRNA	KNOWN	MIR877
ENSG00000214195.3	pseudogene	KNOWN	HMGN2P31
ENSG00000230519.2	pseudogene	KNOWN	RP11-1060J15.5
ENSG00000182944.13	protein_coding	KNOWN	EWSR1
ENSG00000211640.2	IG_V_gene	KNOWN	IGLV6-57
ENSG00000240729.1	pseudogene	KNOWN	CTD-2301A4.3
ENSG00000214546.3	lincRNA	NOVEL	AC087491.2
ENSG00000254516.1	lincRNA	NOVEL	RP11-159D8.1
ENSG00000250497.1	lincRNA	PUTATIVE	AC007126.1
ENSG00000155957.11	protein_coding	KNOWN	TMBIM4
ENSG00000236491.1	pseudogene	KNOWN	RP13-565O16.2
ENSG00000201096.1	rRNA	KNOWN	RNA5SP387
ENSG00000160685.9	protein_coding	KNOWN	ZBTB7B
ENSG00000250461.1	pseudogene	KNOWN	RP11-631M6.2
ENSG00000237617.1	pseudogene	KNOWN	AC013410.2
ENSG00000174448.3	protein_coding	KNOWN	STARD6
ENSG00000238688.1	snoRNA	KNOWN	snoU13
ENSG00000121377.2	protein_coding	KNOWN	TAS2R7
ENSG00000127314.12	protein_coding	KNOWN	RAP1B
ENSG00000253015.1	misc_RNA	KNOWN	7SK
ENSG00000264854.1	miRNA	KNOWN	MIR4791
ENSG00000235529.1	sense_intronic	PUTATIVE	AGAP1-IT1
ENSG00000081760.12	protein_coding	KNOWN	AACS
ENSG00000224809.1	pseudogene	KNOWN	RP11-62C3.5
ENSG00000230455.2	pseudogene	KNOWN	AC129778.3
ENSG00000210077.1	Mt_tRNA	KNOWN	J01415.3
ENSG00000136717.10	protein_coding	KNOWN	BIN1
ENSG00000237162.1	pseudogene	KNOWN	RP11-443F16.1
ENSG00000250969.1	lincRNA	PUTATIVE	RP11-364L4.3
ENSG00000226715.1	lincRNA	PUTATIVE	RP11-411H5.1
ENSG00000197548.7	protein_coding	KNOWN	ATG7
ENSG00000202324.1	rRNA	KNOWN	RNA5SP366
ENSG00000256591.1	protein_coding	KNOWN	RP11-286N22.8
ENSG00000229274.1	lincRNA	NOVEL	XXbac-BPG13B8.10
ENSG00000264771.1	miRNA	KNOWN	AC022819.1
ENSG00000222546.1	rRNA	KNOWN	RNA5SP251
ENSG00000161640.10	protein_coding	KNOWN	SIGLEC11
ENSG00000231864.1	antisense	NOVEL	RP11-229P13.23
ENSG00000215067.5	protein_coding	NOVEL	AC027763.2
ENSG00000162849.11	protein_coding	KNOWN	KIF26B
ENSG00000244144.1	pseudogene	KNOWN	RP11-757F18.3
ENSG00000224647.2	pseudogene	KNOWN	AC026954.6
ENSG00000150551.10	protein_coding	KNOWN	LYPD1
ENSG00000254376.1	pseudogene	KNOWN	SOX5P
ENSG00000204120.10	protein_coding	KNOWN	GIGYF2
ENSG00000253743.1	pseudogene	KNOWN	MARK2P11
ENSG00000187957.7	protein_coding	KNOWN	DNER
ENSG00000228487.1	antisense	PUTATIVE	RP13-225O21.2
ENSG00000176659.5	protein_coding	KNOWN	C20orf197
ENSG00000157837.11	protein_coding	KNOWN	SPPL3
ENSG00000252349.1	snoRNA	KNOWN	SNORA31
ENSG00000134809.4	protein_coding	KNOWN	TIMM10
ENSG00000237033.1	pseudogene	KNOWN	CASP3P1
ENSG00000176933.4	pseudogene	KNOWN	TOB2P1
ENSG00000163637.7	protein_coding	KNOWN	PRICKLE2
ENSG00000183154.1	protein_coding	PUTATIVE	RP11-863K10.7
ENSG00000129749.3	protein_coding	KNOWN	CHRNA10
ENSG00000248332.2	sense_intronic	NOVEL	RP11-236J17.5
ENSG00000168374.6	protein_coding	KNOWN	ARF4
ENSG00000227223.1	lincRNA	PUTATIVE	RP11-23O13.1
ENSG00000140416.14	protein_coding	KNOWN	TPM1
ENSG00000236651.1	antisense	NOVEL	AC104801.1
ENSG00000253528.1	pseudogene	KNOWN	RP11-347C18.4
ENSG00000243566.2	protein_coding	KNOWN	UPK3B
ENSG00000149743.9	protein_coding	KNOWN	TRPT1
ENSG00000221037.1	miRNA	KNOWN	AC090099.1
ENSG00000158485.6	protein_coding	KNOWN	CD1B
ENSG00000232369.1	pseudogene	KNOWN	RP5-882O7.4
ENSG00000213619.4	protein_coding	KNOWN	NDUFS3
ENSG00000252413.1	snRNA	KNOWN	U7
ENSG00000222651.1	miRNA	KNOWN	MIR1469
ENSG00000234504.1	antisense	NOVEL	RP11-285G1.2
ENSG00000211514.1	miRNA	KNOWN	MIR454
ENSG00000166170.9	protein_coding	KNOWN	BAG5
ENSG00000267663.1	pseudogene	KNOWN	RP11-64C12.9
ENSG00000232314.1	pseudogene	KNOWN	PSMC1P13
ENSG00000240692.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000140015.15	protein_coding	KNOWN	KCNH5
ENSG00000264765.1	lincRNA	NOVEL	RP11-92B11.4
ENSG00000222570.1	miRNA	KNOWN	AF216667.1
ENSG00000241634.1	pseudogene	KNOWN	RP11-381E24.1
ENSG00000137491.9	protein_coding	KNOWN	SLCO2B1
ENSG00000213886.3	protein_coding	KNOWN	UBD
ENSG00000227755.1	pseudogene	KNOWN	AP000344.4
ENSG00000233175.2	antisense	NOVEL	CTD-2020K17.3
ENSG00000202016.1	snRNA	KNOWN	U6
ENSG00000253857.1	protein_coding	PUTATIVE	RP11-386G21.2
ENSG00000244462.3	protein_coding	KNOWN	RBM12
ENSG00000221027.2	miRNA	KNOWN	AC068020.1
ENSG00000208001.1	miRNA	KNOWN	MIR431
ENSG00000207806.1	miRNA	KNOWN	MIR522
ENSG00000258131.1	processed_transcript	PUTATIVE	RP11-541G9.1
ENSG00000229722.1	lincRNA	NOVEL	RP11-557H15.5
ENSG00000240058.2	pseudogene	KNOWN	ARGFXP1
ENSG00000167800.9	protein_coding	KNOWN	TBX10
ENSG00000213385.3	pseudogene	KNOWN	RP11-577H5.1
ENSG00000223756.2	pseudogene	KNOWN	TSSC2
ENSG00000199568.1	snRNA	KNOWN	RNU5A-1
ENSG00000204568.6	protein_coding	KNOWN	MRPS18B
ENSG00000214401.4	antisense	NOVEL	KANSL1-AS1
ENSG00000158805.7	protein_coding	KNOWN	ZNF276
ENSG00000239145.1	snoRNA	KNOWN	snoU13
ENSG00000259438.1	lincRNA	NOVEL	CTD-2650P22.1
ENSG00000256803.1	antisense	NOVEL	RP11-133L14.5
ENSG00000221551.1	miRNA	KNOWN	AP000478.1
ENSG00000184588.13	protein_coding	KNOWN	PDE4B
ENSG00000242520.4	pseudogene	KNOWN	RP11-1007I13.3
ENSG00000255300.1	lincRNA	NOVEL	RP11-148I19.1
ENSG00000223724.1	pseudogene	KNOWN	RAD17P2
ENSG00000119285.6	protein_coding	KNOWN	HEATR1
ENSG00000122507.16	protein_coding	KNOWN	BBS9
ENSG00000240165.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000235902.1	antisense	PUTATIVE	RP11-626E13.1
ENSG00000231471.1	pseudogene	KNOWN	HMGN2P34
ENSG00000146242.5	protein_coding	KNOWN	TPBG
ENSG00000261567.1	protein_coding	PUTATIVE	RP11-680G10.1
ENSG00000243122.1	pseudogene	KNOWN	RP11-25H11.1
ENSG00000246334.2	lincRNA	NOVEL	PRR7-AS1
ENSG00000172680.1	protein_coding	KNOWN	MOS
ENSG00000212051.1	miRNA	KNOWN	MIR320C2
ENSG00000238546.1	snoRNA	KNOWN	snoU13
ENSG00000160201.7	protein_coding	KNOWN	U2AF1
ENSG00000172115.4	protein_coding	KNOWN	CYCS
ENSG00000214688.3	protein_coding	KNOWN	C10orf105
ENSG00000264396.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000252361.1	snRNA	KNOWN	U6
ENSG00000183960.4	protein_coding	KNOWN	KCNH8
ENSG00000053770.7	protein_coding	KNOWN	AP5M1
ENSG00000225152.1	lincRNA	PUTATIVE	RP11-338O1.2
ENSG00000249210.1	pseudogene	KNOWN	AC011551.1
ENSG00000234311.1	antisense	PUTATIVE	RP11-432J24.3
ENSG00000215452.3	pseudogene	KNOWN	RP5-981L23.1
ENSG00000198205.5	protein_coding	KNOWN	ZXDA
ENSG00000105664.5	protein_coding	KNOWN	COMP
ENSG00000250377.1	lincRNA	NOVEL	CTC-467M3.3
ENSG00000237827.1	pseudogene	KNOWN	RP11-332O19.2
ENSG00000200225.1	rRNA	KNOWN	RNA5SP382
ENSG00000250197.1	pseudogene	KNOWN	HMGN1P15
ENSG00000166482.7	protein_coding	KNOWN	MFAP4
ENSG00000207744.1	miRNA	KNOWN	MIR10B
ENSG00000222548.2	miRNA	KNOWN	AC006534.1
ENSG00000212158.1	snoRNA	KNOWN	SNORD66
ENSG00000196466.5	protein_coding	KNOWN	ZNF799
ENSG00000234159.1	pseudogene	KNOWN	RBPMSLP
ENSG00000138032.16	protein_coding	KNOWN	PPM1B
ENSG00000236959.1	pseudogene	KNOWN	SULT1D1P
ENSG00000104059.4	protein_coding	KNOWN	FAM189A1
ENSG00000252437.1	rRNA	KNOWN	RNA5SP459
ENSG00000237837.1	lincRNA	PUTATIVE	AC159540.3
ENSG00000113494.12	protein_coding	KNOWN	PRLR
ENSG00000241073.1	processed_transcript	NOVEL	RP4-714D9.2
ENSG00000238645.1	snoRNA	KNOWN	snoU13
ENSG00000257026.1	pseudogene	KNOWN	AC040173.1
ENSG00000183549.6	protein_coding	KNOWN	ACSM5
ENSG00000181358.3	pseudogene	KNOWN	CTAGE10P
ENSG00000140983.7	protein_coding	KNOWN	RHOT2
ENSG00000254598.1	pseudogene	KNOWN	CSNK2A1P
ENSG00000162772.12	protein_coding	KNOWN	ATF3
ENSG00000182415.8	protein_coding	KNOWN	CDY2A
ENSG00000222898.1	misc_RNA	KNOWN	7SK
ENSG00000198995.1	miRNA	KNOWN	MIR340
ENSG00000222185.1	snoRNA	KNOWN	SNORD113
ENSG00000233953.1	antisense	PUTATIVE	AC009970.1
ENSG00000242231.1	pseudogene	KNOWN	CYP4F45P
ENSG00000262884.1	antisense	NOVEL	CTD-3060P21.1
ENSG00000165458.8	protein_coding	KNOWN	INPPL1
ENSG00000232788.1	antisense	NOVEL	AC078883.3
ENSG00000249697.1	lincRNA	PUTATIVE	RP11-155L15.1
ENSG00000265593.1	pseudogene	KNOWN	RP11-655D3.3
ENSG00000212525.1	rRNA	KNOWN	RNA5SP212
ENSG00000181274.5	protein_coding	KNOWN	FRAT2
ENSG00000230840.1	pseudogene	KNOWN	AC097463.2
ENSG00000214481.3	lincRNA	NOVEL	RP11-321C1.1
ENSG00000183307.3	protein_coding	KNOWN	CECR6
ENSG00000252061.1	snRNA	KNOWN	U6
ENSG00000124915.6	lincRNA	NOVEL	RP11-467L20.10
ENSG00000223662.1	antisense	NOVEL	SAMSN1-AS1
ENSG00000104967.4	protein_coding	KNOWN	NOVA2
ENSG00000129048.6	protein_coding	KNOWN	CCRL1
ENSG00000201820.1	misc_RNA	KNOWN	Y_RNA
ENSG00000235339.1	pseudogene	KNOWN	RP11-626A1.1
ENSG00000248279.1	lincRNA	NOVEL	CTD-2218G20.2
ENSG00000157131.10	protein_coding	KNOWN	C8A
ENSG00000264986.1	miRNA	KNOWN	MIR5092
ENSG00000201809.1	snoRNA	KNOWN	U8
ENSG00000133739.11	protein_coding	KNOWN	LRRCC1
ENSG00000149257.9	protein_coding	KNOWN	SERPINH1
ENSG00000207181.1	snoRNA	KNOWN	SNORA14B
ENSG00000199881.1	misc_RNA	KNOWN	Y_RNA
ENSG00000201988.2	misc_RNA	KNOWN	Y_RNA
ENSG00000237299.1	pseudogene	KNOWN	LA16c-60G3.6
ENSG00000128322.6	protein_coding	KNOWN	IGLL1
ENSG00000174917.4	protein_coding	KNOWN	C19orf70
ENSG00000219863.3	pseudogene	KNOWN	RP3-483K16.3
ENSG00000258610.1	lincRNA	NOVEL	RP11-488C13.7
ENSG00000177576.6	protein_coding	KNOWN	C18orf32
ENSG00000238279.1	antisense	NOVEL	BX470102.3
ENSG00000084093.11	protein_coding	KNOWN	REST
ENSG00000260442.1	antisense	NOVEL	RP11-22P6.3
ENSG00000237285.1	pseudogene	KNOWN	HNRNPA1P2
ENSG00000198981.2	miRNA	KNOWN	MIR29A
ENSG00000224992.1	sense_intronic	PUTATIVE	RP11-295G24.5
ENSG00000196937.5	protein_coding	KNOWN	FAM3C
ENSG00000231106.1	lincRNA	NOVEL	AP000688.8
ENSG00000250559.1	processed_transcript	PUTATIVE	RP11-397D12.6
ENSG00000178385.9	protein_coding	KNOWN	PLEKHM3
ENSG00000231791.1	lincRNA	NOVEL	RP11-382D12.1
ENSG00000229686.1	processed_transcript	KNOWN	SNORD56
ENSG00000179178.6	protein_coding	KNOWN	TMEM125
ENSG00000258637.1	antisense	NOVEL	RP11-242P2.1
ENSG00000000971.11	protein_coding	KNOWN	CFH
ENSG00000210112.1	Mt_tRNA	KNOWN	J01415.7
ENSG00000224356.1	processed_transcript	NOVEL	RP11-151A6.4
ENSG00000165810.12	protein_coding	KNOWN	BTNL9
ENSG00000144230.12	protein_coding	KNOWN	GPR17
ENSG00000215021.3	protein_coding	KNOWN	PHB2
ENSG00000224886.1	pseudogene	KNOWN	RP11-119F19.4
ENSG00000232558.1	sense_intronic	PUTATIVE	KCND3-IT1
ENSG00000264004.1	miRNA	KNOWN	MIR4717
ENSG00000253024.1	snRNA	KNOWN	U6
ENSG00000254350.1	lincRNA	NOVEL	RP11-542A14.1
ENSG00000199298.1	snoRNA	KNOWN	SNORD3C
ENSG00000202270.1	snoRNA	KNOWN	SNORD114-12
ENSG00000231130.1	pseudogene	KNOWN	HLA-T
ENSG00000182732.12	protein_coding	KNOWN	RGS6
ENSG00000200156.1	snRNA	KNOWN	RNU5B-1
ENSG00000229012.1	lincRNA	PUTATIVE	GS1-542M4.4
ENSG00000233535.1	lincRNA	NOVEL	RP1-122K4.2
ENSG00000213924.2	pseudogene	KNOWN	GS1-256O22.3
ENSG00000231311.1	pseudogene	KNOWN	PRYP2
ENSG00000244278.1	lincRNA	NOVEL	AP000235.3
ENSG00000024422.6	protein_coding	KNOWN	EHD2
ENSG00000241054.1	antisense	NOVEL	RP5-1002M8.4
ENSG00000204252.8	protein_coding	KNOWN	HLA-DOA
ENSG00000154359.8	protein_coding	KNOWN	LONRF1
ENSG00000261442.1	antisense	NOVEL	RP11-709D24.6
ENSG00000254132.1	pseudogene	KNOWN	MTND6P3
ENSG00000252984.1	snRNA	KNOWN	U6
ENSG00000136908.13	protein_coding	KNOWN	DPM2
ENSG00000230306.1	pseudogene	KNOWN	BANF1P2
ENSG00000216125.2	miRNA	KNOWN	AC109496.1
ENSG00000251527.1	lincRNA	NOVEL	RP11-51P8.1
ENSG00000172070.5	protein_coding	KNOWN	SRXN1
ENSG00000261687.1	antisense	NOVEL	RP11-473C18.3
ENSG00000100191.4	protein_coding	KNOWN	SLC5A4
ENSG00000237059.1	antisense	PUTATIVE	AC083863.7
ENSG00000212410.1	snRNA	KNOWN	U6
ENSG00000244286.1	antisense	NOVEL	ITGB5-AS1
ENSG00000261124.1	antisense	NOVEL	AC135050.5
ENSG00000261697.1	processed_transcript	NOVEL	RP11-178L8.5
ENSG00000258627.1	pseudogene	KNOWN	RP11-76E17.1
ENSG00000112530.7	protein_coding	KNOWN	PACRG
ENSG00000224795.1	processed_transcript	NOVEL	AP003039.3
ENSG00000168505.6	protein_coding	KNOWN	GBX2
ENSG00000254091.1	pseudogene	KNOWN	RP11-10A14.8
ENSG00000230759.1	lincRNA	NOVEL	RP11-153F1.2
ENSG00000168397.12	protein_coding	KNOWN	ATG4B
ENSG00000230287.1	pseudogene	KNOWN	RP11-305E17.4
ENSG00000261359.2	protein_coding	KNOWN	AC106782.18
ENSG00000037749.7	protein_coding	KNOWN	MFAP3
ENSG00000139890.5	protein_coding	KNOWN	REM2
ENSG00000230648.1	antisense	NOVEL	RP3-406P24.3
ENSG00000264092.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000241146.1	pseudogene	KNOWN	RPL7P41
ENSG00000235440.1	pseudogene	KNOWN	RP11-214J9.1
ENSG00000168395.10	protein_coding	KNOWN	ING5
ENSG00000264560.1	miRNA	KNOWN	AC073973.1
ENSG00000200418.1	snoRNA	KNOWN	SNORA63
ENSG00000126500.3	protein_coding	KNOWN	FLRT1
ENSG00000205869.2	protein_coding	KNOWN	KRTAP5-1
ENSG00000181963.5	protein_coding	KNOWN	OR52K2
ENSG00000226108.1	pseudogene	KNOWN	RP11-104G3.5
ENSG00000199448.1	snRNA	KNOWN	U6
ENSG00000255549.2	pseudogene	KNOWN	RP11-351I21.10
ENSG00000187210.8	protein_coding	KNOWN	GCNT1
ENSG00000207029.1	snRNA	KNOWN	U6
ENSG00000196152.6	protein_coding	KNOWN	ZNF79
ENSG00000226525.3	pseudogene	KNOWN	RPS7P10
ENSG00000237378.1	lincRNA	PUTATIVE	RP11-473M10.3
ENSG00000170619.8	protein_coding	KNOWN	COMMD5
ENSG00000255555.1	antisense	PUTATIVE	AP000857.3
ENSG00000232204.1	pseudogene	KNOWN	TET1P1
ENSG00000264171.1	miRNA	KNOWN	MIR4305
ENSG00000236403.1	lincRNA	NOVEL	RP11-447M12.2
ENSG00000118961.9	protein_coding	KNOWN	C2orf43
ENSG00000217609.2	pseudogene	KNOWN	AC110079.1
ENSG00000226132.1	pseudogene	KNOWN	AL163953.1
ENSG00000221307.1	miRNA	KNOWN	AC092745.1
ENSG00000103363.10	protein_coding	KNOWN	TCEB2
ENSG00000080618.9	protein_coding	KNOWN	CPB2
ENSG00000233415.1	lincRNA	NOVEL	RP11-101E14.3
ENSG00000227540.1	lincRNA	PUTATIVE	RP11-152N13.5
ENSG00000236554.1	pseudogene	KNOWN	ASNSP3
ENSG00000152804.6	protein_coding	KNOWN	HHEX
ENSG00000065665.15	protein_coding	KNOWN	SEC61A2
ENSG00000204403.5	protein_coding	KNOWN	CASP12
ENSG00000248601.1	antisense	NOVEL	RP11-310I9.1
ENSG00000238948.1	snoRNA	KNOWN	snoU13
ENSG00000161791.9	protein_coding	KNOWN	FMNL3
ENSG00000224141.1	lincRNA	NOVEL	AL109763.2
ENSG00000257094.1	pseudogene	KNOWN	RP11-50I19.1
ENSG00000238863.1	snoRNA	KNOWN	snoU13
ENSG00000147262.2	protein_coding	KNOWN	GPR119
ENSG00000114416.12	protein_coding	KNOWN	FXR1
ENSG00000212205.1	misc_RNA	KNOWN	Y_RNA
ENSG00000238932.1	snoRNA	KNOWN	snoU13
ENSG00000120594.10	protein_coding	KNOWN	PLXDC2
ENSG00000170142.7	protein_coding	KNOWN	UBE2E1
ENSG00000266128.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000143797.7	protein_coding	KNOWN	MBOAT2
ENSG00000231883.1	lincRNA	PUTATIVE	RP1-297M16.2
ENSG00000126231.8	protein_coding	KNOWN	PROZ
ENSG00000243745.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000253288.1	lincRNA	NOVEL	RP11-238K6.1
ENSG00000259663.1	antisense	NOVEL	CTD-2314G24.2
ENSG00000253079.1	misc_RNA	KNOWN	NRON
ENSG00000141971.7	protein_coding	KNOWN	FAM125A
ENSG00000239323.1	pseudogene	KNOWN	CTD-2213F21.1
ENSG00000267741.1	pseudogene	KNOWN	UBE2L4
ENSG00000232768.1	pseudogene	KNOWN	RP11-201O14.2
ENSG00000083896.8	protein_coding	KNOWN	YTHDC1
ENSG00000150275.13	protein_coding	KNOWN	PCDH15
ENSG00000265347.1	miRNA	KNOWN	MIR4291
ENSG00000251878.1	snoRNA	KNOWN	SNORD79
ENSG00000125731.7	protein_coding	KNOWN	SH2D3A
ENSG00000170298.11	protein_coding	KNOWN	LGALS9B
ENSG00000148680.10	protein_coding	KNOWN	HTR7
ENSG00000263913.1	miRNA	KNOWN	AC004812.1
ENSG00000105668.3	protein_coding	KNOWN	UPK1A
ENSG00000224721.1	lincRNA	NOVEL	AC007182.6
ENSG00000260430.1	lincRNA	NOVEL	RP11-626G11.4
ENSG00000176531.5	protein_coding	KNOWN	PHLDB3
ENSG00000141096.4	protein_coding	KNOWN	DPEP3
ENSG00000188342.7	protein_coding	KNOWN	GTF2F2
ENSG00000257262.1	lincRNA	NOVEL	RP11-776A13.1
ENSG00000225615.1	pseudogene	KNOWN	RBMY2UP
ENSG00000267028.1	antisense	NOVEL	RP11-619L19.1
ENSG00000259206.1	lincRNA	NOVEL	RP13-608F4.8
ENSG00000103544.10	protein_coding	KNOWN	C16orf62
ENSG00000226482.1	antisense	NOVEL	ADIPOQ-AS1
ENSG00000251484.2	pseudogene	KNOWN	RP5-1065J22.4
ENSG00000256007.1	antisense	PUTATIVE	ARAP1-AS1
ENSG00000237614.1	lincRNA	PUTATIVE	AC073257.2
ENSG00000177707.6	protein_coding	KNOWN	PVRL3
ENSG00000121879.3	protein_coding	KNOWN	PIK3CA
ENSG00000250213.1	pseudogene	KNOWN	RP11-488I4.2
ENSG00000164181.9	protein_coding	KNOWN	ELOVL7
ENSG00000220989.1	miRNA	KNOWN	AC063944.1
ENSG00000250900.2	antisense	PUTATIVE	CTC-338M12.6
ENSG00000118271.5	protein_coding	KNOWN	TTR
ENSG00000135346.4	protein_coding	KNOWN	CGA
ENSG00000252481.1	snoRNA	KNOWN	SCARNA13
ENSG00000255208.1	antisense	PUTATIVE	RP11-794P6.3
ENSG00000197015.2	pseudogene	KNOWN	AL353898.1
ENSG00000144852.12	protein_coding	KNOWN	NR1I2
ENSG00000254545.1	antisense	NOVEL	RP11-84A19.3
ENSG00000241479.1	antisense	NOVEL	RP11-641D5.2
ENSG00000141965.3	protein_coding	KNOWN	FEM1A
ENSG00000205775.8	protein_coding	KNOWN	GAGE2E
ENSG00000214654.5	pseudogene	KNOWN	RP11-27I1.4
ENSG00000143947.8	protein_coding	KNOWN	RPS27A
ENSG00000242405.1	pseudogene	KNOWN	RP11-267J23.1
ENSG00000092607.9	protein_coding	KNOWN	TBX15
ENSG00000211498.1	miRNA	KNOWN	AC093311.1
ENSG00000241916.1	pseudogene	KNOWN	RFTN1P1
ENSG00000206623.1	snRNA	KNOWN	U6
ENSG00000259598.1	antisense	NOVEL	RP11-275I4.1
ENSG00000260233.1	processed_transcript	NOVEL	RP11-856B14.1
ENSG00000241465.2	protein_coding	KNOWN	GAGE12I
ENSG00000253489.1	lincRNA	NOVEL	RP11-114O8.1
ENSG00000259129.1	lincRNA	NOVEL	LINC00648
ENSG00000246016.2	antisense	NOVEL	RP11-1C1.7
ENSG00000240652.1	pseudogene	KNOWN	RP11-832N8.1
ENSG00000139636.11	protein_coding	KNOWN	LMBR1L
ENSG00000100522.4	protein_coding	KNOWN	GNPNAT1
